,load,alloc,reward,sigma,event_start_time,event_end_time
1650178214.1257443,46.70072555541992,56.0,1.0,0.36417850852012634,1650178214.1257443,1650178224.232654
1650178224.3601606,47.522064208984375,56.0,1.0,0.3617872893810272,1650178224.3601606,1650178234.5238602
1650178234.815007,42.55018615722656,56.0,1.0,0.36369648575782776,1650178234.815007,1650178245.9547937
1650178246.2728105,46.37948226928711,56.0,1.0,0.3487900495529175,1650178246.2728105,1650178257.0318787
1650178257.477405,42.56991958618164,56.0,1.0,0.3823595643043518,1650178257.477405,1650178267.6958883
1650178268.1999228,49.10051727294922,56.0,1.0,0.3553345203399658,1650178268.1999228,1650178278.322016
1650178278.546612,43.428043365478516,56.0,1.0,0.35897907614707947,1650178278.546612,1650178289.7375374
1650178290.2941527,39.78550338745117,56.0,1.0,0.3458572328090668,1650178290.2941527,1650178302.7861397
1650178303.0367355,39.803367614746094,56.0,1.0,0.4029114842414856,1650178303.0367355,1650178313.0861363
1650178313.7270741,41.352291107177734,56.0,1.0,0.3818017840385437,1650178313.7270741,1650178323.9562535
1650178324.2188334,39.98769760131836,56.0,1.0,0.3829197883605957,1650178324.2188334,1650178334.6720488
1650178345.6640618,36.43407440185547,1.0,0.17475728690624237,0.492664635181427,1650178345.6640618,1650178356.560455
1650178356.744478,38.297271728515625,1.0,0.2954545319080353,0.4767313003540039,1650178356.744478,1650178367.0846403
1650178367.3840744,39.23555374145508,1.0,0.21904762089252472,0.48795002698898315,1650178367.3840744,1650178378.1141388
1650178378.259234,37.225162506103516,1.0,0.4072398245334625,0.47565150260925293,1650178378.259234,1650178388.682291
1650178388.893506,39.43503189086914,1.0,0.3252427279949188,0.492664635181427,1650178388.893506,1650178399.0621297
1650178399.3244047,36.830535888671875,1.0,0.38009050488471985,0.47565150260925293,1650178399.3244047,1650178409.560476
1650178409.750481,34.98235321044922,1.0,0.3333333432674408,0.48795002698898315,1650178409.750481,1650178420.0699697
1650178420.6020129,37.0508918762207,1.0,0.2850467264652252,0.48336824774742126,1650178420.6020129,1650178430.9661362
1650178431.3121243,43.554264068603516,1.0,0.30516430735588074,0.48450157046318054,1650178431.3121243,1650178441.5981436
