,load,alloc,reward,sigma,event_start_time,event_end_time
1650224126.566729,1.0,131.0,598.996826171875,362.3569030761719,1650224126.566729,1650224137.5868204
1650224140.260466,1.0,131.0,526.6973266601562,608.05322265625,1650224140.260466,1650224158.2518241
1650224159.6369188,1.0,131.0,488.8018493652344,730.2111206054688,1650224159.6369188,1650224181.1957572
1650224182.2712502,1.0,131.0,399.4806823730469,686.2819213867188,1650224182.2712502,1650224208.3726366
1650224211.536305,1.0,131.0,459.1484375,785.9741821289062,1650224211.536305,1650224236.49991
1650224238.5465865,1.0,131.0,386.7583923339844,694.89306640625,1650224238.5465865,1650224263.9862418
1650224316.247736,1.0,65.0,377.7310485839844,362.1825866699219,1650224316.247736,1650224332.7462478
1650224333.7755928,1.0,65.0,252.2561798095703,495.66839599609375,1650224333.7755928,1650224365.6955237
1650224367.6482754,1.0,65.0,287.9351501464844,498.7982482910156,1650224367.6482754,1650224394.480707
1650224423.3962793,1.0,66.0,259.2562255859375,536.4121704101562,1650224423.3962793,1650224455.981802
1650224457.9640455,1.0,66.0,355.900390625,499.6817321777344,1650224457.9640455,1650224480.748511
1650224482.3408465,1.0,66.0,160.4097137451172,257.4002990722656,1650224482.3408465,1650224510.9862432
1650224537.824741,1.0,66.0,227.56732177734375,361.3233947753906,1650224537.824741,1650224565.4824903
1650224566.511643,1.0,66.0,347.0090637207031,527.0103149414062,1650224566.511643,1650224590.8222466
1650224591.4700985,1.0,66.0,357.98046875,507.93548583984375,1650224591.4700985,1650224614.5160494
1650224615.318112,1.0,66.0,240.76467895507812,513.1033325195312,1650224615.318112,1650224649.0356815
1650224649.7718117,1.0,66.0,264.8501281738281,547.2391967773438,1650224649.7718117,1650224682.6658869
1650224684.109174,1.0,66.0,215.59571838378906,499.5580749511719,1650224684.109174,1650224721.7629824
1650224722.6881983,1.0,66.0,243.3100128173828,505.0781555175781,1650224722.6881983,1650224755.5105228
1650224828.9210289,1.0,66.0,353.04071044921875,498.576416015625,1650224828.9210289,1650224851.337707
1650224852.0074952,1.0,66.0,192.99847412109375,230.40660095214844,1650224852.0074952,1650224873.9144037
1650224874.9276607,1.0,66.0,221.75733947753906,279.0657653808594,1650224874.9276607,1650224897.5289419
1650224898.3359287,1.0,66.0,322.9474182128906,526.0474853515625,1650224898.3359287,1650224924.0862498
1650224925.4183552,1.0,66.0,381.0827941894531,500.6344299316406,1650224925.4183552,1650224946.715564
1650224948.0836496,1.0,66.0,254.7157745361328,495.066650390625,1650224948.0836496,1650224978.870906
1650224980.1026473,1.0,66.0,310.5041198730469,492.47869873046875,1650224980.1026473,1650225005.8156712
1650225007.955989,1.0,66.0,390.14581298828125,529.0784912109375,1650225007.955989,1650225030.1169345
1650225032.3268006,1.0,66.0,522.6197509765625,513.093994140625,1650225032.3268006,1650225048.3575757
1650225050.721505,1.0,66.0,224.70364379882812,515.1845703125,1650225050.721505,1650225087.730251
1650225089.2655056,1.0,66.0,372.3910217285156,497.6747131347656,1650225089.2655056,1650225110.5066187
1650225111.1872141,1.0,66.0,339.03857421875,469.6016845703125,1650225111.1872141,1650225134.146253
1650225135.992514,1.0,66.0,399.03765869140625,521.9346313476562,1650225135.992514,1650225157.494244
1650225158.668447,1.0,66.0,313.0370178222656,449.3736572265625,1650225158.668447,1650225182.7326925
1650225184.4354436,1.0,66.0,168.45169067382812,277.53985595703125,1650225184.4354436,1650225214.2244003
1650225215.2582963,1.0,66.0,709.669921875,544.605224609375,1650225215.2582963,1650225227.6260173
1650225229.5021758,1.0,66.0,344.1746826171875,479.40789794921875,1650225229.5021758,1650225252.1273139
1650225254.2610974,1.0,66.0,228.5694122314453,246.05487060546875,1650225254.2610974,1650225273.848145
1650225275.5439212,1.0,66.0,272.977294921875,283.3039245605469,1650225275.5439212,1650225294.4502552
1650225296.5778928,1.0,66.0,511.6772766113281,510.1975402832031,1650225296.5778928,1650225312.6993823
1650225314.6394157,1.0,66.0,206.67288208007812,237.74444580078125,1650225314.6394157,1650225335.895228
1650225336.8800836,1.0,66.0,409.0517578125,479.0932312011719,1650225336.8800836,1650225356.0781426
1650225357.4666739,1.0,66.0,304.4329833984375,505.49200439453125,1650225357.4666739,1650225384.5662336
1650225386.4052575,1.0,66.0,401.84765625,532.4419555664062,1650225386.4052575,1650225407.263908
1650225441.2143707,1.0,66.0,486.3302001953125,535.00732421875,1650225441.2143707,1650225458.9862463
1650225460.3374724,1.0,66.0,265.0683898925781,518.2429809570312,1650225460.3374724,1650225491.9594994
1650225492.7864933,1.0,66.0,553.4151000976562,522.6112670898438,1650225492.7864933,1650225507.6903145
1650225539.1753423,1.0,67.0,341.61663818359375,481.5940246582031,1650225539.1753423,1650225562.3182428
1650225563.7077794,1.0,67.0,369.1019287109375,492.6662902832031,1650225563.7077794,1650225585.4822524
1650225587.150691,1.0,67.0,195.4596710205078,260.2794189453125,1650225587.150691,1650225611.0072749
1650225611.9373014,1.0,67.0,401.3381652832031,516.8190307617188,1650225611.9373014,1650225632.8049905
1650225634.9753098,1.0,67.0,592.8253173828125,528.7352294921875,1650225634.9753098,1650225649.4382553
1650225650.471409,1.0,67.0,317.7919006347656,525.2662963867188,1650225650.471409,1650225677.2467937
1650225710.4566135,1.0,66.0,232.11293029785156,523.0265502929688,1650225710.4566135,1650225745.995349
1650225746.6826434,1.0,66.0,293.8724670410156,506.3836975097656,1650225746.6826434,1650225774.068672
1650225775.802072,1.0,66.0,268.5399169921875,467.9783020019531,1650225775.802072,1650225804.2708385
1650225830.789261,1.0,67.0,290.9381408691406,481.36456298828125,1650225830.789261,1650225857.7262592
1650225860.2714896,1.0,67.0,310.9627685546875,470.5295104980469,1650225860.2714896,1650225885.0622387
