,load,alloc,reward,sigma,event_start_time,event_end_time
1650224159.2419968,43.27582931518555,1.0,0.4159291982650757,0.4703604280948639,1650224159.2419968,1650224170.1487782
1650224170.314057,47.19203567504883,1.0,0.2075471729040146,0.4856429398059845,1650224170.314057,1650224182.3287964
1650224182.4551573,45.05134201049805,1.0,0.13596491515636444,0.46829289197921753,1650224182.4551573,1650224195.0407982
1650224195.2897487,44.43464660644531,1.0,0.20873786509037018,0.492664635181427,1650224195.2897487,1650224211.7408757
1650224212.102933,43.03014373779297,1.0,0.20000000298023224,0.4662524163722992,1650224212.102933,1650224226.8367908
1650224227.1632009,46.13771057128906,1.0,0.18884120881557465,0.4632410407066345,1650224227.1632009,1650224238.368785
1650224238.5728164,41.6353874206543,1.0,0.19806763529777527,0.4914731979370117,1650224238.5728164,1650224254.5207884
1650224254.862006,39.05730056762695,1.0,0.19369369745254517,0.47457900643348694,1650224254.862006,1650224269.7887933
1650224269.9469225,39.69526290893555,1.0,0.39419087767601013,0.45548751950263977,1650224269.9469225,1650224280.3008032
1650224280.5104532,37.6891975402832,1.0,0.21198156476020813,0.480015367269516,1650224280.5104532,1650224296.96079
1650224313.0203981,38.33916091918945,15.0,1.0,0.3892494738101959,1650224313.0203981,1650224323.8448393
1650224324.3748908,38.55097961425781,15.0,0.7523077130317688,0.2773500978946686,1650224324.3748908,1650224343.3367956
1650224343.6430886,39.116363525390625,15.0,1.0,0.33981382846832275,1650224343.6430886,1650224356.6811104
1650224356.85935,35.310848236083984,15.0,0.9778911471366882,0.2916059195995331,1650224356.85935,1650224375.2956097
1650224375.4478996,36.1907958984375,15.0,1.0,0.32207831740379333,1650224375.4478996,1650224391.0043414
1650224412.9889703,39.10159683227539,13.0,0.8085419535636902,0.27136266231536865,1650224412.9889703,1650224432.348793
1650224432.951524,36.08695602416992,13.0,1.0,0.32547226548194885,1650224432.951524,1650224448.164778
1650224448.3916543,39.52772903442383,13.0,0.8449612259864807,0.278423011302948,1650224448.3916543,1650224467.0367928
1650224467.3519027,34.85226058959961,13.0,0.4507658779621124,0.2338901311159134,1650224467.3519027,1650224495.4419026
1650224495.7662168,39.41299057006836,13.0,0.2737799882888794,0.20336295664310455,1650224495.7662168,1650224528.6487749
1650224529.172348,39.638431549072266,13.0,0.5519713163375854,0.24441185593605042,1650224529.172348,1650224552.0794091
1650224579.7566316,36.690696716308594,14.0,0.24587705731391907,0.19360077381134033,1650224579.7566316,1650224618.3767745
1650224618.770432,36.02710723876953,14.0,0.5665914416313171,0.23755717277526855,1650224618.770432,1650224645.4447918
1650224645.796476,37.43080520629883,14.0,1.0,0.33671751618385315,1650224645.796476,1650224659.6887772
1650224659.9977608,37.74134063720703,14.0,1.0,0.33748364448547363,1650224659.9977608,1650224673.6167789
