,load,alloc,reward,sigma,event_start_time,event_end_time
1650224101.1755223,22.504745483398438,1.0,0.0,0.5,1650224101.1755223,1650224111.75107
1650224111.8945932,22.851482391357422,1.0,0.015625,0.5,1650224111.8945932,1650224121.9158251
1650224122.0350718,23.9169979095459,1.0,0.3691275119781494,0.5,1650224122.0350718,1650224132.0697763
1650224132.1658723,20.579734802246094,1.0,0.16447368264198303,0.5,1650224132.1658723,1650224144.0221965
1650224144.1538596,22.897594451904297,1.0,0.30344828963279724,0.5,1650224144.1538596,1650224154.4169466
1650224154.636278,21.08118438720703,1.0,0.19631901383399963,0.5,1650224154.636278,1650224166.0208373
1650224166.126413,23.700763702392578,1.0,0.16556291282176971,0.5,1650224166.126413,1650224177.8138003
1650224178.0025723,20.862689971923828,1.0,0.3469387888908386,0.5,1650224178.0025723,1650224188.6435776
1650224188.7446928,19.202016830444336,1.0,0.16556291282176971,0.5,1650224188.7446928,1650224200.2539008
1650224200.4205322,19.17934226989746,1.0,0.8533333539962769,0.5,1650224200.4205322,1650224210.9005578
1650224211.0481992,20.35323715209961,1.0,0.1589404046535492,0.5,1650224211.0481992,1650224222.2012165
1650224222.3094318,18.882558822631836,1.0,0.1568627506494522,0.5,1650224222.3094318,1650224234.2251902
1650224234.3511913,17.943613052368164,1.0,0.16339869797229767,0.5,1650224234.3511913,1650224246.3889008
1650224258.3846118,19.355018615722656,8.0,0.0,0.5,1650224258.3846118,1650224268.9245136
1650224269.1813016,18.991884231567383,8.0,0.8203592896461487,0.5,1650224269.1813016,1650224279.975386
1650224280.2017164,19.333284378051758,8.0,1.0,0.48795002698898315,1650224280.2017164,1650224292.9776103
1650224293.051336,19.070680618286133,8.0,1.0,0.5,1650224293.051336,1650224303.8008215
1650224303.977339,17.783323287963867,8.0,1.0,0.5,1650224303.977339,1650224316.236015
1650224316.3009973,17.777326583862305,8.0,1.0,0.5,1650224316.3009973,1650224328.2263002
1650224328.4230795,21.198869705200195,8.0,1.0,0.46726930141448975,1650224328.4230795,1650224341.3011246
1650224341.4634213,20.504785537719727,8.0,1.0,0.4822428226470947,1650224341.4634213,1650224354.4360025
1650224354.6193883,19.1812744140625,8.0,1.0,0.5,1650224354.6193883,1650224367.287994
1650224367.4684029,18.326025009155273,8.0,1.0,0.5,1650224367.4684029,1650224380.1279943
1650224380.2556486,18.080970764160156,8.0,1.0,0.5,1650224380.2556486,1650224392.920898
1650224393.0260174,19.64833641052246,8.0,1.0,0.4902903437614441,1650224393.0260174,1650224405.546161
1650224418.2577188,17.491985321044922,7.0,1.0,0.5,1650224418.2577188,1650224430.4918938
1650224430.5941398,17.731788635253906,7.0,1.0,0.5,1650224430.5941398,1650224443.396007
1650224443.4967556,18.85657501220703,7.0,1.0,0.5,1650224443.4967556,1650224455.5880284
1650224455.8511496,20.872121810913086,7.0,1.0,0.4622501730918884,1650224455.8511496,1650224469.0266187
1650224469.1553159,20.35222625732422,7.0,1.0,0.4789131283760071,1650224469.1553159,1650224482.176004
1650224482.309708,19.50720977783203,7.0,0.9516907930374146,0.4914731979370117,1650224482.309708,1650224495.2280087
1650224495.39269,18.483152389526367,7.0,1.0,0.5,1650224495.39269,1650224505.942838
1650224506.165904,20.24827003479004,7.0,1.0,0.5,1650224506.165904,1650224517.919995
1650224518.1955318,17.915681838989258,7.0,1.0,0.5,1650224518.1955318,1650224530.2520084
1650224530.4290783,20.158205032348633,7.0,1.0,0.5,1650224530.4290783,1650224540.8466723
1650224540.9917557,17.422395706176758,7.0,1.0,0.5,1650224540.9917557,1650224553.1600022
1650224553.297291,17.932912826538086,7.0,1.0,0.5,1650224553.297291,1650224565.9555807
1650224566.0968962,17.70036506652832,7.0,1.0,0.5,1650224566.0968962,1650224578.752002
1650224578.9585001,18.331926345825195,7.0,1.0,0.5,1650224578.9585001,1650224591.8867652
1650224592.0731938,19.062496185302734,7.0,1.0,0.5,1650224592.0731938,1650224603.8240154
1650224603.9985595,19.01507568359375,7.0,1.0,0.5,1650224603.9985595,1650224616.2519953
1650224616.334618,16.687524795532227,7.0,1.0,0.5,1650224616.334618,1650224629.0387187
1650224629.1080918,17.16346549987793,7.0,1.0,0.5,1650224629.1080918,1650224639.7120104
1650224640.0761409,19.37699317932129,7.0,1.0,0.4914731979370117,1650224640.0761409,1650224652.5651784
1650224652.6849487,19.987449645996094,7.0,1.0,0.5,1650224652.6849487,1650224664.6924841
1650224664.9490561,18.472034454345703,7.0,1.0,0.5,1650224664.9490561,1650224675.9386415
1650224676.0881386,19.268098831176758,7.0,1.0,0.5,1650224676.0881386,1650224687.713572
1650224687.796267,20.062847137451172,7.0,1.0,0.5,1650224687.796267,1650224699.708834
1650224699.8813944,18.018905639648438,7.0,1.0,0.48795002698898315,1650224699.8813944,1650224713.644717
1650224713.7349222,19.633115768432617,7.0,1.0,0.5,1650224713.7349222,1650224725.704495
1650224725.776024,18.09635353088379,7.0,1.0,0.5,1650224725.776024,1650224738.0989492
1650224738.248802,17.57410430908203,7.0,1.0,0.5,1650224738.248802,1650224750.312006
1650224750.3901477,17.40993881225586,7.0,1.0,0.5,1650224750.3901477,1650224761.935277
1650224762.1308813,20.605573654174805,7.0,1.0,0.47781848907470703,1650224762.1308813,1650224774.8458877
1650224774.976295,18.100648880004883,7.0,1.0,0.5,1650224774.976295,1650224787.9040084
1650224788.0219915,16.358945846557617,7.0,1.0,0.5,1650224788.0219915,1650224798.964017
1650224799.4302273,17.9910888671875,7.0,1.0,0.5,1650224799.4302273,1650224811.9920015
1650224812.1023166,21.883445739746094,7.0,1.0,0.492664635181427,1650224812.1023166,1650224823.3436906
